englishname,chinesename,distillery,bottler,vintage,statedage,strength,size,casktype,casknumber,numberofbottles,rating,fbprice,euprice,chinaprice,notes,fbpricedate,eupricedate,chinapricedate,dateupdated
Bunnahabhain 1997 Palo Cortado Finish 20 Year Old,布納哈本 1997 Palo Cortado 20年,Bunnahabhain,官方,1997,20,0.549,700,Palo Cortado 雪莉,,1620,91.08,10800,284,,FB私價,2019/2/4,2019/3/4,,2019/3/23
Bunnahabhain 1998 AD Selection,布納哈本 1998 艾德菲選桶,Bunnahabhain,Adelphi,1998,13,0.552,700,前雪莉 Butts,6039,629,89.56,5000,75,,台灣限定,2018/1/8,,,2019/3/7
Bunnahabhain 2008 SMWS 9 Year Old 10.162,布納哈本 2008 SMWS 9年 10.162,Bunnahabhain,Scotch Malt Whisky Society,2008,9,0.614,700,"前 Oloroso 雪莉(一次填充), 豬頭",10.162,277,87,,,,,,,,2019/2/27
Bunnahabhain 25-year-old Small Batch Distilled,布納哈本 25年 Small Batch Distilled 2017,Bunnahabhain,官方,,25,0.463,700,,,,89.21,10000,,,FB非木盒/FB私價/2017裝瓶,2019/2/24,,,2019/3/23
Bunnahabhain Mine Oloroso,布納哈本 Moine,Bunnahabhain,官方,,,0.601,700,Oloroso 雪莉,,,86.81,2800,140,,,2018/8/21,2019/2/4,,2019/3/7
Bunnahabhain XXV,布納哈本 XXV 25年,Bunnahabhain,官方,,25,0.463,700,,,,89.74,8500,220,,,2019/4/4,2018/12/3,,2019/4/10
Caol Ila 1968 Gordon and MacPhail 50 Year Old / Private Collection,卡爾里拉 1968 GM 50年,Caol Ila,Gordon & MacPhail,1968,50,0.525,700,雪莉(二次充填),,199,,,"5,499.00",,建議售價7500英鎊,,2019/3/4,,2019/2/27
Caol Ila 1980 DL XOP - Xtra Old Particular,卡爾里拉 1980 XOP 36年,Caol Ila,官方,1980,36,0.574,700,豬頭(二次充填),DL 11491,172,91.2,11500,,,,2018/12/25,,,2019/3/6
Caol Ila 1980 DL XOP - Xtra Old Particular,卡爾里拉 1980 XOP 38年,Caol Ila,Douglas Laing,1980,38,0.539,700,豬頭(二次充填),,177,,,480,,,,2019/3/4,,2019/3/2
Caol Ila 1982 Artist Collection #3 30 Year Old,卡爾里拉 藝術收藏 #3 30年,Caol Ila,LMDW,1982,30,0.544,700,波本 Barrel,6488,228,91.3,,265,,,,2019/3/4,,2019/3/2
Chichibu 2008 Whisky Live Tokyo,秩父 2008 Whisky Live Tokyo,Chichibu,官方,2008,,0.618,700,波本,123,238,82.43,11588,585,,,2018/11/30,2018/4/2,,2019/3/7
Chichibu 2009,秩父 2009 帆船,Chichibu,官方,2009,,0.616,700,,640,214,,35000,575,,,2018/11/10,2018/3/5,,2019/3/7
Chichibu 2009 Japan Warrior Series - Number One,秩父 2009 日本武士 #2369,Chichibu,官方,2009,,0.619,700,雪莉 Puncheon & 法國白酒熟成,2369,265,91.07,85300,"1,550.00",,FB含木盒*1 紙盒*1/德國限定,2019/4/22,2019/3/4,,2019/4/23
Chichibu 2009 Whisky Live Tokyo,秩父 2009 Whisky Live Tokyo,Chichibu,官方,2009,1,0.62,700,豬頭(二次充填),496,318,62,11200,430,,2011裝瓶,2018/11/30,2018/4/2,,2019/3/7
Chichibu 2010 Ichiro's Malt,秩父 2010 #2641,Chichibu,官方,2010,5,0.59,700,,2641,,91.13,20100,330,,日本高島屋限定,2018/12/23,2017/12/4,,2019/3/8
Chichibu 2010 Ichiro's Malt - Whisky Talk 2015 Fukuoka,秩父 2015 福岡 動物 (貓頭鷹),Chichibu,官方,2010,,0.608,700,小桶(一次填充) & Puncheon(三次填充),,593,,26700,700,,,2019/2/14,2018/12/3,,2019/3/12
Chichibu 2011 Thousand Crane Series,秩父 2011 千羽鶴系列,Chichibu,官方,2011,,0.637,700,"Madeira 馬德拉, 豬頭",1372,242,92,26000,,,與2012版合售52200,,,,2019/3/5
Chichibu 2012 Thousand Crane Series,秩父 2012 千羽鶴系列,Chichibu,官方,2012,,0.606,700,"Ex1011 (Hanyu 2000 羽生 2000 年), 豬頭",1691,274,92.33,26000,,,與2011版合售52200,,,,2019/3/5
Chichibu Ichiro's Malt & Grain,秩父 白葉 46%,Chichibu,官方,,,0.46,700,,,,84.34,1400,,,調和威士忌,2018/10/23,,,2019/3/8
Chichibu MWR Ichiro's Malt - Mizunara Wood Reserve,秩父 金葉水楢桶,Chichibu,官方,,,0.46,700,水楢桶,,,84.46,,,,,,,,2019/3/11
Chichibu On The Way Ichiro's Malt,秩父 On The Way 2015,Chichibu,官方,,,0.555,700,,,10700,87.79,10000,160,,,2018/12/15,2019/3/4,,2019/3/7
Chichibu Paris Edition 2018 Ichiro's Malt,秩父 巴黎 限定 2018,Chichibu,官方,,,0.573,700,3種水楢 + 2種法國橡木,1357,,89.45,20600,501,,法國限定,2019/3/14,2019/3/4,,2019/3/12
Chichibu Travel Exclusive Ichiro's Malt,秩父 原酒 2018 限定通路版,Chichibu,官方,,,0.606,700,3種波本(一次填充),,610,,18000,351,,日本免稅限定,2019/4/12,2019/3/4,,2019/3/12
Clynelish 1974 Rare Malts Selection,克里尼基 1974 23年,Clynelish,官方,1974,23,0.591,700,,,,90.3,,525,"8,300.00",,,2017/11/6,2019/3/19,2019/3/20
Clynelish 1995 DT Dimensions,克里尼基 18年 鄧肯泰勒 小山貓,Clynelish,Duncan Taylor,1995,18,0.551,700,橡木,,10170,,4800,71,,,2019/3/6,2016/9/5,,2019/3/14
Clynelish Distillery Bottling Available Only At The Distillery,克里尼基 2008 酒廠遊客中心限定,Clynelish,官方,,,0.573,700,前波本,7000,,85.78,6200,100,,,2018/3/5,2019/2/4,,2019/3/7
Craigellachie 1973 Rare Malts Selection,魁列奇 1973 22年,Craigellachie,官方,1973,22,0.602,700,,,,87.75,,390,"6,800.00",,,2019/3/4,2019/3/19,2019/3/20
Craigellachie 1990 SMWS 44.64 You can fly,魁列奇 1990 SMWS 44.64,Craigellachie,官方,1990,24,0.52,700,前波本豬頭(二次充填),,288,86.5,,,"5,000.00",,,,2019/3/19,2019/3/20
Craigellachie 1992 Exceptional Cask Series,魁列奇 1992 24年,Craigellachie,官方,1992,24,0.46,700,,CR 2592,,,,,"7,800.00",,,,2019/3/19,2019/3/20
Craigellachie 1995 HL Old Malt Cask,魁列奇 1995 HL OMC 22年,Craigellachie,Hunter Laing,1995,22,0.5,700,雪莉 Butt,HL 14460,450,87,3300,75,,,2018/5/12,2018/8/6,,2019/3/8
Dailuaine 1980 Special Release 2015,大雲 1980 2015特別版,Dailuaine,官方,1980,34,0.509,700,美國橡木(二次充填),,2952,90.39,,270,"6,800.00",,,2018/12/3,2019/3/19,2019/3/20
Dallas Dhu 1979 GM Licensed Bottling,達拉斯杜 1979 GM,Dallas Dhu,Gordon & MacPhail,1979,,0.4,700,,,,83.21,,190,"3,200.00",1998裝瓶,,2019/1/7,2019/3/19,2019/3/19
Dalmore 18-year-old,大摩 18年,Dalmore,官方,,18,0.43,700,,,,83.67,3250,82,,兩瓶6500,,2019/3/4,,2019/3/7
Dalmore 1973 Rare & Prestige,大磨 1973 33年,Dalmore,官方,1973,33,0.45,700,Cabernet Sauvignon 葡萄 橡木,,1000,93.63,,"2,200.00","27,200.00",,,2018/9/3,2019/3/19,2019/3/20
Dalmore 25-year-old Whyte & Mackay - Distillery label,大摩 25年 Whyte & Mackay 木盒,Dalmore,官方,,25,0.43,750,,,,91.65,,910,"25,000.00",,,2016/2/1,2019/3/19,2019/3/19
Dalmore 50 Year Old 10cl Decanter,大摩 50年,Dalmore,官方,,50,0.528,100,,,191,94.32,,,,,,2019/3/4,,2019/3/2
Edradour 1995 Oloroso Cask Finish,艾德多爾 1995 Oloroso雪莉,Edradour,官方,1995,21,0.562,700,波本 + Oloroso雪莉 Butts(一次充填),,2027,88.05,,,"2,000.00",,,,2019/3/24,2019/3/25
Edradour 2005,艾德多爾 白藝妓,Edradour,官方,2005,11,0.591,700,前 Oloroso 雪莉(一次填充),90,678,92.29,9200,,,MMA 2017 得獎,,,,2019/3/6
Glen Grant 1963 Sherry Cask 50 Year Old 20cl,格蘭冠 1963 雪莉 50年,Glen Grant,官方,1963,50,0.544,200,雪莉,5171,150,93,,"2,000.00",,,,2019/3/4,,2019/3/2
Glen Grant 1988 AD Limited,格蘭冠 1988 艾德菲爾 限量,Glen Grant,Adelphi,1988,29,0.563,700,雪莉(一次充填),9165,429,89.33,11000,,,FB私價,2019/2/25,,,2019/3/13
Glen Moray 1986 DT Rare Auld,格蘭莫雷 1986 鄧肯泰勒 24年 Rare Auld,Glen Moray,Duncan Taylor,1986,24,0.556,700,橡木,2858,215,87.67,5800,,,,2019/3/8,,,2019/3/14
Glendronach 15-year-old Revival,格蘭多納 15年 Revival,Glendronach,官方,,15,0.46,700,PX & Oloroso 雪莉,,,86.26,1500,70,,兩瓶3088,2018/12/7,2018/3/4,,2019/3/7
Glendronach 1971 Single Cask - Batch 1,格蘭多納 1971 單桶 第一版 #483,Glendronach,官方,1971,38,0.494,700,Oloroso 雪莉 Butt,483,544,92.72,60000,"1,575.00","18,700.00",,2019/3/6,2018/12/3,2019/3/19,2019/3/19
Glendronach 1972 Single Cask,格蘭多納 1972 #2033,Glendronach,官方,1972,39,0.491,700,PX 雪莉 Puncheon,2033,450,93.82,69000,"1,000.00",,台灣限定,2019/2/18,2017/8/7,,2019/3/12
Glendronach 1978 The Millennium Malt,格蘭多納 1978 The Millennium Malt,Glendronach,官方,1978,20,0.43,700,,,,88.5,,,"3,600.00",英國限定,,,2019/3/19,2019/3/19
Glendronach 1990 Single Cask ,格蘭多納 1990 單桶 #1159,Glendronach,官方,1990,22,0.536,700,Oloroso雪莉,1159,672,88.67,9000,,,FB私價/台灣限定,2019/3/14,,,2019/3/23
Glendronach 1990 Single Cask - Batch 3,格蘭多納 1990 單桶 #3068,Glendronach,官方,1990,20,0.526,700,PX雪莉 Puncheon,3068,750,87.09,8000,160,,FB私價,2019/2/23,2018/3/5,,2019/3/23
Glendronach 1990 Single Cask #3049,格蘭多納 1990 單桶 #3049,Glendronach,官方,1990,23,0.532,700,PX 雪莉 Puncheon,3049,673,86.71,6200,,,台灣限定,2018/12/12,,,2019/3/11
Glendronach 1991 Single Cask #1344,格蘭多納 1991 單桶 #1344,Glendronach,官方,1991,18,0.525,700,Oloroso 雪莉,1344,303,87,5000,140,,,2019/3/5,2017/12/4,,2019/3/6
Glendronach 1992 Single Cask,格蘭多納 1992 單桶 #98,Glendronach,官方,1992,24,0.576,700,Oloroso雪莉,98,588,91.21,12500,,,FB私價/台灣限定,2019/3/14,,,2019/3/23
Glendronach 1992 Single Cask - Batch 4 #161,格蘭多納 1992 單桶 #161,Glendronach,官方,1992,19,0.592,700,Oloroso 雪莉 Butts,161,500,89.96,14223,251,,第四批次,2018/1/8,2019/2/4,,2019/3/7
Glendronach 1992 Single Cask #150,格蘭多納 1992 單桶 #150,Glendronach,官方,1992,19,0.581,700,PX 雪莉 Butts,150,107,88.2,11881,,,台灣限定,2018/1/8,,,2019/3/7
Glendronach 1993 Single Cask #27,格蘭多納 1993 單桶 #27,Glendronach,官方,1993,20,0.591,700,Oloroso 雪莉,27,599,90.52,7500,,,台灣限定,,,,2019/3/6
Glendronach 1993 Single Cask #494,格蘭多納 1993 單桶 #494,Glendronach,官方,1993,21,0.558,700,Oloroso 雪莉 Butt,494,635,89.57,6500,200,,第10批次,2018/3/13,2018/3/5,,2019/3/8
Glendronach 1993 Single Cask #541,格蘭多納 1993 單桶 #541,Glendronach,官方,1993,19,0.601,700,Oloroso 雪莉 Butt,541,600,,7100,,,台灣限定,2018/8/22,,,2019/3/7
Glendronach 1993 Single Cask #543,格蘭多納 1993 單桶 #543,Glendronach,官方,1993,19,0.602,700,Oloroso 雪莉 Butt,543,604,90,6550,170,,2012 Whisky Live Taipei 版本,2018/3/14,2018/12/3,,2019/3/8
Glendronach 1994 Single Cask #103,格蘭多納 1994 單桶 #103,Glendronach,官方,1994,19,0.592,700,Oloroso 雪莉 Butts,103,647,87.5,6500,260,,台灣限定,2018/1/8,2019/1/7,,2019/3/7
Glendronach 1994 Single Cask #3400,格蘭多納 1994 單桶 #3400,Glendronach,官方,1994,20,0.548,700,"PX雪莉, Puncheon",,672,90.28,7000,145,,,2018/11/28,2017/12/4,,2019/3/6
Glendronach 1995 Single Cask ,格蘭多納 1995 單桶 #5087,Glendronach,官方,1995,19,0.548,700,Oloroso雪莉 Puncheon,5087,671,,5200,,,FB私價/台灣限定/人生酒肆,2019/3/14,,,2019/3/23
Glendronach 1995 Single Cask #1563,格蘭多納 1995 單桶 #1563,Glendronach,官方,1995,19,0.542,700,Oloroso 雪莉 Butt,1563,640,89.22,5250,,,,2018/3/13,,,2019/3/8
Glendronach 1996 Single Cask,格蘭多納 1996 單桶 #3831,Glendronach,官方,1996,18,0.545,700,PX雪莉 Puncheon,3831,732,84.33,5500,,,FB私價/台灣限定/Kenny Hsu 選桶,2019/3/14,,,2019/3/23
Glendronach 1996 Single Cask ,格蘭多納 1996 單桶 #1484,Glendronach,官方,1996,17,0.533,700,PX雪莉 Puncheon,1484,673,,4900,,,FB私價/台灣限定,2019/3/14,,,2019/3/23
Glendronach 2002 Single Cask #2020,格蘭多納 2002 單桶 #2020,Glendronach,官方,2002,9,0.533,"4,500",PX 雪莉 Puncheon,2020,88,,28000,,,台灣限定,2018/10/24,,,2019/3/9
Glendronach 2006 Single Cask,格蘭多納 2006 Taipei Whisky Live 2018,Glendronach,官方,2006,12,0.576,700,PX 雪莉 Puncheon,5536,655,,3100,,,Taipei Whisky Live 2018 台灣限定,2019/2/26,,,2019/3/14
Glendronach 2006 SMWS 96.17 Kicking through autumn leaves,格蘭多納 2006 SMWS 96.17,Glendronach,Scotch Malt Whisky Society,2006,11,0.565,700,前波本 Barrel,,249,,3700,,,,2019/3/15,,,2019/3/22
Glendronach 21-year-old Parliament,格蘭多納 21年 Parliament,Glendronach,官方,,21,0.48,700,Oloroso & PX 雪莉,,,88.2,3200,97,,FB明價/2011版,,2019/3/4,,2019/3/5
Glenfarclas 1954 Family Cask #1253,格蘭花格 1954 家族桶 #1253,Glenfarclas,官方,1954,59,0.463,700,雪莉,1253,424,93.64,,"3,300.00",,,,2019/3/4,,2019/3/2
Glenfarclas 1967 The Family Casks (Release A13),格蘭花格 1967 家族桶 #6354,Glenfarclas,官方,1967,46,0.54,700,雪莉,6354,522,93.14,35300,"1,050.00",,A13版,,2018/6/4,,2019/3/7
Glenfarclas 1984 Family Cask #6030 / Release VII,格蘭花格 1984 家族桶 #6030,Glenfarclas,官方,1984,,0.51,700,豬頭,6030,264,89.64,,676,,第七版,,2019/3/4,,2019/3/2
Glenfarclas 1986 Family Cask #3447 / Spring 2017,格蘭花格 1986 家族桶 #3447,Glenfarclas,官方,1986,31,0.528,700,雪莉(二次充填),3447,546,90.83,,350,,SP17版,,2019/3/4,,2019/3/2
Glenfarclas 21-year-old New Label,格蘭花格 21年 新標,Glenfarclas,官方,,21,0.43,700,雪莉,,,85.33,1300,70,,綠盒,2018/12/7,2019/3/4,,2019/3/7
Glenfiddich 1959 Private Vintage #3934,格蘭菲迪 1959 #3934,Glenfiddich,官方,1959,47,0.481,700,,3934,201,94,,"4,809.00",,,,2019/1/7,,2019/3/2
Glenfiddich 1976 Private Vintage #21229 / Queen Mary 2,格蘭菲迪 1976 #21229,Glenfiddich,官方,1976,,0.503,700,,21229,250,93,,"1,450.00",,,,2019/3/4,,2019/3/2
Glenfiddich 1992 Glenfiddich 130th Anniversary,格蘭菲迪 1992 130週年紀念,Glenfiddich,官方,1992,25,0.614,700,,34748,618,,,670,"16,488.00",,,2019/2/4,2019/3/19,2019/3/19
Glenfiddich 21-year-old - Winter Storm Experimental Series No. 03,格蘭菲迪 21年 冰風暴,Glenfiddich,官方,,21,0.43,700,冰酒桶 Icewine Cask,,8000,87.94,10500,160,,FB明價二版/總共三版,2019/4/19,2019/3/4,,2019/4/19
Glenfiddich 25-year-old Rare Oak,格蘭菲迪 25年 Rare Oak,Glenfiddich,官方,,25,0.43,700,雪莉 Butt & 美國波本 Barrels,,,88.13,6600,211,"2,100.00",,2018/12/27,2019/3/4,2019/3/24,2019/3/25
Glenfiddich 30-year-old,格蘭菲迪 30年 XXX,Glenfiddich,官方,,30,0.4,700,,,,,,350,"4,400.00",,,2019/3/4,2019/3/19,2019/3/19
Glenfiddich 30-year-old,格蘭菲迪 30年 木盒,Glenfiddich,官方,,30,0.43,700,波本 & 雪莉,Cask Selection 00025,,89.13,12400,525,,,2018/9/28,2019/3/4,,2019/3/8
Glenfiddich Snow Phoenix,格蘭菲迪 雪鳳凰,Glenfiddich,官方,,,0.476,700,美國橡木 & Oloroso雪莉,,12000,87.14,13700,350,,FB私價/2010裝瓶,2019/2/25,2019/3/4,,2019/3/23
Glenglassaugh 1986 Rare Cask Release,格蘭格拉索 1986 28年 #7,Glenglassaugh,官方,1986,28,0.432,700,雪莉,7,547,,,310,"3,500.00",,,2016/8/8,2019/3/24,2019/3/25
Glengoyne 1988 Single Cask #687,格蘭哥尼 1988 單桶 #687,Glengoyne,官方,1988,23,0.568,700,歐洲橡木雪莉 Butt,687,511,,15100,,,,2018/1/9,,,2019/3/8
Glengoyne 21-year-old Sherry,格蘭哥尼 21年 舊版 雪莉,Glengoyne,官方,,21,0.43,700,歐洲橡木雪莉 (一次填充),,,87.11,4700,90,,舊版,,2018/12/3,,2019/3/5
Glengoyne 30-year-old Limited Release,格蘭哥尼 30年,Glengoyne,官方,,30,0.468,700,雪莉,,6000,92.14,23000,481,,FB價為UK平行,2018/3/13,2018/8/6,,2019/3/8
Glengoyne Scottish Oak Wood Finish - Batch B,格蘭哥尼 橡木風味桶 Batch B,Glengoyne,官方,,15,0.43,700,蘇格蘭橡木,,,87,2800,55,,批次B,,2017/12/4,,2019/3/6
Glenkinchie 1987 SMWS 22.13,格蘭金奇 1987 SMWS 22.13,Glenkinchie,Scotch Malt Whisky Society,1987,17,0.582,700,豬頭,,202,,,,"3,600.00",,,,2019/3/19,2019/3/20
Glenlivet 13-year-old Sherry Cask Matured - Cask Strength,格蘭利威 13年 雪莉 原酒,Glenlivet,官方,,13,0.587,700,Oloroso 雪莉 Butts,,,87,2600,65,,台灣限定,2019/3/8,2019/3/4,,2019/3/14
Glenlivet 30-year-old Cellar Collection,格蘭利威 30年 Cellar Collection,Glenlivet,官方,,30,0.48,700,美國白橡木,,,91.42,,700,"8,100.00",2001裝瓶,,2019/1/7,2019/3/19,2019/3/19
Glenlivet Alpha,格蘭利威 Alpha,Glenlivet,官方,,,0.5,700,,3350,,87.54,6200,230,,,2018/5/12,2019/1/7,,2019/3/7
Glenmorangie 1990 Grand Vintage Malt,格蘭傑 1990,Glenmorangie,官方,1990,,0.43,700,前波本 & 前雪莉,,5000,89.67,,439,"4,000.00",2016裝瓶,,2019/1/7,2019/3/19,2019/3/19
Glenmorangie Signet 2017,格蘭傑 稀印 2017,Glenmorangie,官方,,,0.46,700,,,,85.6,,110,900,2017裝瓶,,2019/3/4,2019/3/24,2019/3/25
Glenmorangie Sonnalta PX Private Collection,格蘭傑 Sonnalta PX 私藏,Glenmorangie,官方,,12,0.46,"1,000",美國白橡木 & PX雪莉熟城,,2000,87.62,6400,380,,,2018/11/24,2019/3/4,,2019/3/8
Glenmorangie Traditional 100° Proof,格蘭傑 10年 傳統 100 Proof 原酒,Glenmorangie,官方,,10,0.572,"1,000",Mountain 橡木,,,85.8,,170,"1,700.00",,,2018/12/3,2019/3/24,2019/3/25
Glenrothes 1972 Restricted Release,格蘭路思 1972 嚴選,Glenrothes,官方,1972,,0.43,700,,,,91.31,,403,,,,2019/3/4,,2019/3/2
Glenrothes 1978,格蘭路思 1978 29年,Glenrothes,官方,1978,29,0.43,700,,,5600,89.32,10200,,,FB台版/2008裝瓶,2019/4/4,,,2019/4/10
Glenrothes 1990 WM Barrel Selection,格蘭路思 1990 W&M 選桶 #12899,Glenrothes,Wilson & Morgan,1990,21,0.601,700,雪莉 Butt,12899,543,,4800,100,,,2018/1/8,2016/3/7,,2019/3/7
Glenrothes 1992 Dow's Cask Finish 24 Year Old / Grimaldi Collection,格蘭路思 1992 Dow's Cask Finish 24年,Glenrothes,官方,1992,,0.571,700,波特,,322,,,580,,,,2019/3/4,,2019/3/2
Glenury Royal 1970 Rare Malts Selection,皇家格蘭烏妮 1970 29年,Glenury Royal,官方,1970,29,0.57,700,,,,90.56,,440,"8,900.00",,,2019/2/4,2019/3/19,2019/3/20
Hakushu 10-year-old,白州 10年 絕版 綠標 40%,Hakushu,官方,,10,0.4,700,,,,,6100,190,,FB拍賣UK版,2019/3/6,2019/3/4,,2019/3/14
Hakushu 12-year-old,白州 12年 綠盒,Hakushu,官方,,12,0.43,750,,,,86.65,4600,125,,FB歐版,2019/3/15,2019/3/4,,2019/3/7
Hakushu 18-year-old,白州 18年 綠盒,Hakushu,官方,,18,0.43,700,,,,86.28,12800,330,,FB歐版,2019/3/15,2019/3/4,,2019/3/22
Hakushu 18-year-old Limited Edition,白州 18年 機場,Hakushu,官方,,18,0.43,700,,,500,91,16700,650,,日本免稅限定,2019/3/15,2019/3/4,,2019/3/22
Hakushu 25-year-old Limited Edition,白州 25年 機場,Hakushu,官方,,25,0.43,700,,,100,92.75,110000,"2,700.00",,日本免稅限定,2019/3/8,2019/3/4,,2019/3/14
Hakushu Sherry Cask 2013,白州 雪莉 2013,Hakushu,官方,,,0.48,700,,,3000,89.81,,"1,350.00","13,200.00",,,2019/3/4,2019/3/19,2019/3/19
Hakushu Sherry Cask 2014,白州 雪莉 2014,Hakushu,官方,,,0.48,700,雪莉,,3000,90.11,55000,"1,150.00",,,2019/2/15,2019/2/4,,2019/3/12
Hanyu 1988 Noh Series,羽生 能 1988,Hanyu,官方,1988,21,0.556,700,西班牙橡木 雪莉 Butt,9306,625,89.88,80000,,,,2019/2/27,2019/2/4,,2019/3/14
Hanyu 1990 Batch 2,羽生 1990 第二版 海浪 #9305,Hanyu,官方,1990,,0.53,700,豬頭 + 雪莉 Butt,9305,200,91.75,58000,"2,000.00",,2009裝瓶,2019/3/15,2018/12/3,,2019/3/22
Hanyu 2000,羽生 2000 帆船,Hanyu,官方,2000,,0.6,700,,955,295,,50500,"1,350.00",,,2018/11/10,2018/11/5,,2019/3/7
Hanyu 2000 Whisky Live Tokyo,羽生 2000 Whisky Live Tokyo,Hanyu,官方,2000,,0.609,700,"日本橡木(二次填充), 豬頭",9510,310,90.75,29300,925,,,2018/11/30,2018/12/3,,2019/3/7
Hibiki 12-year-old,響 12年 霧面開門 舊標,Hibiki,官方,,12,0.43,700,Plum Liqueur Barrels 梅子小桶,,,83.54,7200,260,,"舊標 (""12""位於正中央)",2018/11/8,2019/2/4,,2019/3/8
Hibiki 17-year-old,響 17年 金花,Hibiki,官方,,17,0.43,700,,,,,10630,310,,,,2019/3/4,,2019/3/6
Hibiki 17-year-old,響 17年 霧面開門,Hibiki,官方,,17,0.43,700,,,,92.14,9600,330,,"""17""二字以金色刻印",2019/4/12,2019/3/15,,2019/4/16
Hibiki 17-year-old Kacho Fugetsu ,響 17年 花鳥,Hibiki,Suntory,,17,0.43,700,,,,90.19,26000,"1,050.00",,,2019/3/22,2019/1/7,,2019/3/27
